leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,page
f1ee9741-d3a3-47bb-bb4e-10964a648831,RANKED_SOLO_5x5,DIAMOND,I,evVobJ_LhO2Dgsv97swdoyk6EYrxhq6GX06G--CE-mKxy_Fh,nagusame,65,36,34,False,False,False,False,1
498ff318-e456-4baf-86d8-13869617be06,RANKED_SOLO_5x5,DIAMOND,I,-Kp47Ck7d-NYRvNekiHo_4tq0xGvI28E7sD44_Cqw40-a9H3,TOO7A,75,24,13,False,False,False,False,1
6dd48fa4-567c-4144-899e-dadef69401f1,RANKED_SOLO_5x5,DIAMOND,I,_cyDlzgNplgygsz4I0mTrXdsrrSUItAY1b29IpeGVAUb7X7d,mreeoww,36,36,26,False,False,False,False,1
fccb17d3-26ed-4bab-b64a-6dc2d370aa9b,RANKED_SOLO_5x5,DIAMOND,I,1eFpD0bWrB5uPK33xlKIZ2VTYsJRLpFJ0Fm78Y-x95yaqmzF,Prince Pyke,75,54,47,False,False,False,False,1
91ab39c3-d311-4ea1-9dd6-4a7c4d68e81e,RANKED_SOLO_5x5,DIAMOND,I,oF_tuQbzdaiGrM2lOy0ybGwYGwqYVpJoHG9a-BXFD0lkWid6,YY Kaneshiro,65,135,122,False,False,True,False,1
36b57655-387a-4ab6-b4d2-1152765d4f44,RANKED_SOLO_5x5,DIAMOND,I,3YnDxcjys7whUD3NtsLumOK6cOkKA7jTsxlQFgwtP_cKmQJ-,Fresh Iemon,0,29,28,False,False,False,False,1
3cfe501e-0e9a-4ef0-ab8e-9fb632f2d249,RANKED_SOLO_5x5,DIAMOND,I,0dwLZhcEd__HyGQ7pVdQxBL1ulW1Mo86VcTPQr9nQElA0RWO,DukeKismet,27,78,67,False,False,True,False,1
ed5695ac-f53b-466b-b4dc-6b2752fb5f7b,RANKED_SOLO_5x5,DIAMOND,I,-o72svx66vdmUQmyXOG3f_n5UDgjTP0JW6byg_HZO3pUNUdA,IAmTheWeapon,30,100,107,False,False,True,False,1
f9d606be-ea86-4e0e-b07c-5cf02788c0a3,RANKED_SOLO_5x5,DIAMOND,I,1G_5KkBTdexWO1OuSjKj2lsP0u3DT6zCOd4NoJxcqnXtHTOf,hey im codey,57,93,78,False,False,False,False,1
cd71f759-54bc-45a8-8b85-edbc11fef82b,RANKED_SOLO_5x5,DIAMOND,I,rOiyyW-lbb-T6vwvnw6LdMibZjs4frd7RMIBWd1PmmXJyRiG,Vengenesis,37,15,12,False,False,False,False,1
